id,id_investment,vdate,unitvalue,original_currency,original_unitvalue,isin,id_user,investment_id
83,4,2024-07-23,87.993,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
90,4,2024-07-24,88.806,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
96,4,2024-07-25,86.522,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
102,4,2024-07-26,87.254,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
108,4,2024-07-29,87.198,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
114,4,2024-07-30,87.8,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
120,4,2024-07-31,88.91,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
126,4,2024-08-01,90.2,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
132,4,2024-08-02,88.19,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
138,4,2024-08-05,87.254,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
144,4,2024-08-06,86.764,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
150,4,2024-08-07,87.167,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
156,4,2024-08-08,87.905,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
162,4,2024-08-09,88.3,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
168,4,2024-08-12,89.206,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
174,4,2024-08-14,88.14,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
180,4,2024-08-15,88.694,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
186,4,2024-08-16,89.939,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
192,4,2024-08-19,89.896,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
198,4,2024-08-22,88.575,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
204,4,2024-08-23,89.295,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,FR0013416716,5,4
1,2,2024-07-11,73.81,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
8,2,2024-07-12,73.85,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
15,2,2024-07-15,73.14,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
22,2,2024-07-16,73.1,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
29,2,2024-07-17,72.08,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
57,2,2024-07-18,71.6,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
64,2,2024-07-19,70.78,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
71,2,2024-07-20,70.78,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
75,2,2024-07-21,70.96,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
81,2,2024-07-23,71.18,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
88,2,2024-07-24,70.37,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
95,2,2024-07-25,69.79,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
101,2,2024-07-26,70.2,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
107,2,2024-07-29,70.2,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
113,2,2024-07-30,69.96,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
